CustomerKey,Gender,Name,City,State,Country,Continent,Birthday,Age
301,Female,Lilly Harding,WANDEARAH EAST,South Australia,Australia,Australia,1939-07-03,85
325,Female,Madison Hull,MOUNT BUDD,Western Australia,Australia,Australia,1979-09-27,44
554,Female,Claire Ferres,WINJALLOK,Victoria,Australia,Australia,1947-05-26,77
786,Male,Jai Poltpalingada,MIDDLE RIVER,South Australia,Australia,Australia,1957-09-17,66
1042,Male,Aidan Pankhurst,TAWONGA SOUTH,Victoria,Australia,Australia,1965-11-19,58
1086,Male,Hayden Clegg,TEMPLERS,South Australia,Australia,Australia,1954-01-20,70
1133,Male,Nicholas Caffyn,JUBILEE POCKET,Queensland,Australia,Australia,1969-11-22,54
1256,Male,Lincoln Jenks,KULLOGUM,Queensland,Australia,Australia,1950-03-12,74
1314,Male,Isaac Israel,EDITH RIVER,Northern Territory,Australia,Australia,1965-12-21,58
1568,Male,Luke Virtue,KOTTA,Victoria,Australia,Australia,1975-07-25,49
1585,Female,Anna Hallstrom,GREEN LAKE,Victoria,Australia,Australia,1990-08-12,34
1626,Female,Mary Leach,NEDS CORNER,Victoria,Australia,Australia,1985-10-17,38
1642,Female,Ruby Ambrose,TARLO,New South Wales,Australia,Australia,1965-03-03,59
1677,Male,Dean Innes,ELLESMERE,Queensland,Australia,Australia,1964-11-22,59
1817,Female,Laura Le Rennetel,BEAUCHAMP,Victoria,Australia,Australia,1986-07-10,38
1863,Female,Chelsea Watkins,NAMBOUR DC,Queensland,Australia,Australia,1984-09-22,39
1945,Male,Angus Beaurepaire,GREENFIELDS,Western Australia,Australia,Australia,1974-09-20,49
2238,Female,Isabelle Cochran,BRUCKNELL,Victoria,Australia,Australia,1969-10-31,54
2248,Male,Rory Spargo,JUNG,Victoria,Australia,Australia,1987-12-15,36
2435,Female,Lilian Hall,BLAKEBROOK,New South Wales,Australia,Australia,1968-04-01,56
2469,Female,Phoebe Kneeshaw,BIDWILL,Queensland,Australia,Australia,1948-05-20,76
2512,Female,Matilda Hake,BUNKERS HILL,Victoria,Australia,Australia,1992-11-13,31
2604,Female,Claudia Davison,KUBIN VILLAGE,Queensland,Australia,Australia,1995-04-08,29
2751,Male,Nate Lowes,CALLIDE,Queensland,Australia,Australia,1979-08-20,44
2792,Male,Zachary Perkin,BAMGANIE,Victoria,Australia,Australia,1976-08-25,47
2836,Male,Nicholas Shand,GORDONBROOK,Queensland,Australia,Australia,1959-02-23,65
3002,Male,Joshua Aronson,SMITHTON,Tasmania,Australia,Australia,2000-11-08,23
3006,Female,Alica Stuckey,HARTLEY,New South Wales,Australia,Australia,1943-01-13,81
3203,Male,Aidan Kane,ARGENTON,New South Wales,Australia,Australia,1998-08-18,25
3270,Male,Hunter Templeton,CENTRAL TILBA,New South Wales,Australia,Australia,1948-05-02,76
3327,Female,Alannah Le Messurier,KONONGWOOTONG,Victoria,Australia,Australia,1948-04-28,76
3410,Male,Will Armitage,BOLLON,Queensland,Australia,Australia,1950-05-12,74
3575,Male,Noah McFarland,HOPPERS CROSSING,Victoria,Australia,Australia,1942-03-04,82
3964,Female,Rose Code,DIXIE,Victoria,Australia,Australia,1944-02-16,80
4004,Female,Piper Wrixon,WYALLA PLAZA,Queensland,Australia,Australia,1995-06-24,29
4174,Female,Rebecca Yelverton,OCEAN REEF,Western Australia,Australia,Australia,1990-10-05,33
4633,Female,Victoria Brown,KEYSLAND,Queensland,Australia,Australia,1964-01-08,60
4734,Male,Justin Felan,PARMELIA,Western Australia,Australia,Australia,1946-02-13,78
4808,Male,Jamie Evenden,HAYWARDS BAY,New South Wales,Australia,Australia,1944-06-28,80
4811,Male,Brayden Bulcock,WIDGIEMOOLTHA,Western Australia,Australia,Australia,1994-12-21,29
5097,Female,Bella Foley,Mount Pleasant,Queensland,Australia,Australia,1942-11-13,81
5445,Male,Jake Clibborn,REEFTON,Victoria,Australia,Australia,1952-09-10,71
5962,Male,Aiden Dugdale,SWAN BAY,New South Wales,Australia,Australia,1938-11-17,85
6193,Female,Lara Cassidy,REGENCY PARK,South Australia,Australia,Australia,1945-12-27,78
6242,Male,Cody Grosse,KOOMBERKINE,Western Australia,Australia,Australia,1964-02-10,60
6258,Male,Zac Hull,SANDFORD,Victoria,Australia,Australia,1976-07-03,48
6308,Male,Taj Sexton,KOOREH,Victoria,Australia,Australia,2001-02-15,23
6459,Male,Mitchell Leigh,KEILOR DOWNS,Victoria,Australia,Australia,1942-05-24,82
6794,Female,Abby Hyam,CALDER,Tasmania,Australia,Australia,1971-02-06,53
7109,Male,Hamish Bolton,LANKEYS CREEK,New South Wales,Australia,Australia,1979-11-15,44
7122,Female,Lara Virtue,HIGGINSVILLE,Western Australia,Australia,Australia,1999-08-13,25
7313,Female,Chelsea Keast,KANMANTOO,South Australia,Australia,Australia,1990-01-26,34
7398,Male,Jonathan Thorpe,COOEE BAY,Queensland,Australia,Australia,1945-06-10,79
7493,Male,Declan Torrens,NOORINDOO,Queensland,Australia,Australia,1978-07-20,46
7494,Male,Ben Coventry,HYDE PARK,Queensland,Australia,Australia,1967-04-02,57
7566,Male,William Prenzel,KILLARA,Victoria,Australia,Australia,1993-07-01,31
7664,Male,Riley Gaffney,CANOWIE,South Australia,Australia,Australia,1947-03-18,77
7700,Male,Lucas Keenan,STANWELL TOPS,New South Wales,Australia,Australia,1975-01-27,49
7725,Female,Anna Prerauer,CURRIMUNDI,Queensland,Australia,Australia,1968-01-06,56
7783,Female,Charli Gullett,MOUNT WALLACE,Victoria,Australia,Australia,1961-08-13,63
8098,Female,Alana Belt,SOUTH GREENOUGH,Western Australia,Australia,Australia,1967-01-26,57
